SN,Date,Mean.Humidity,Mean.Sea.Level.PressureIn,Mean.VisibilityMiles,CloudCover,Normalized water pressure,Normalized visiblity,normalized cloudcover,normalized humidity,Sunny or not,Events,Normalized dew point
22536,4/15/2010,39,30.25,10,4,0.725714286,1,0.5,0.226666667,Sunny,Sunny,0.488636364
22539,4/18/2010,49,29.88,10,6,0.514285714,1,0.75,0.36,Sunny,Sunny,0.488636364
22540,4/19/2010,43,29.95,10,2,0.554285714,1,0.25,0.28,Sunny,Sunny,0.488636364
22541,4/20/2010,56,29.95,10,3,0.554285714,1,0.375,0.453333333,Sunny,Sunny,0.568181818
22544,4/23/2010,36,29.86,10,1,0.502857143,1,0.125,0.186666667,Sunny,Sunny,0.431818182
22545,4/24/2010,50,30.05,10,4,0.611428571,1,0.5,0.373333333,Sunny,Sunny,0.465909091
22552,5/1/2010,60,29.83,10,4,0.485714286,1,0.5,0.506666667,Sunny,Sunny,0.727272727
22553,5/2/2010,74,29.82,9,6,0.48,0.888888889,0.75,0.693333333,Sunny,Sunny,0.784090909
22555,5/4/2010,60,29.8,10,4,0.468571429,1,0.5,0.506666667,Sunny,Sunny,0.738636364
22556,5/5/2010,58,29.94,10,0,0.548571429,1,0,0.48,Sunny,Sunny,0.681818182
22558,5/7/2010,57,29.95,10,2,0.554285714,1,0.25,0.466666667,Sunny,Sunny,0.602272727
22560,5/9/2010,37,29.94,10,4,0.548571429,1,0.5,0.2,Sunny,Sunny,0.420454545
22561,5/10/2010,34,30.22,10,1,0.708571429,1,0.125,0.16,Sunny,Sunny,0.386363636
22564,5/13/2010,64,30.28,10,3,0.742857143,1,0.375,0.56,Sunny,Sunny,0.590909091
22566,5/15/2010,54,30.03,10,4,0.6,1,0.5,0.426666667,Sunny,Sunny,0.636363636
22567,5/16/2010,48,30.12,10,5,0.651428571,1,0.625,0.346666667,Sunny,Sunny,0.602272727
22568,5/17/2010,44,30.16,10,7,0.674285714,1,0.875,0.293333333,Sunny,Sunny,0.568181818
22570,5/19/2010,71,29.84,10,7,0.491428571,1,0.875,0.653333333,Sunny,Sunny,0.693181818
22571,5/20/2010,68,29.97,10,3,0.565714286,1,0.375,0.613333333,Sunny,Sunny,0.727272727
22572,5/21/2010,62,30.12,10,5,0.651428571,1,0.625,0.533333333,Sunny,Sunny,0.75
22573,5/22/2010,70,30.23,9,7,0.714285714,0.888888889,0.875,0.64,Sunny,Sunny,0.75
22576,5/25/2010,77,30.19,9,1,0.691428571,0.888888889,0.125,0.733333333,Sunny,Sunny,0.784090909
22577,5/26/2010,62,29.85,10,3,0.497142857,1,0.375,0.533333333,Sunny,Sunny,0.829545455
22580,5/29/2010,77,29.93,10,6,0.542857143,1,0.75,0.733333333,Sunny,Sunny,0.795454545
22581,5/30/2010,57,29.88,10,4,0.514285714,1,0.5,0.466666667,Sunny,Sunny,0.761363636
22586,6/4/2010,64,29.79,10,5,0.462857143,1,0.625,0.56,Sunny,Sunny,0.863636364
22588,6/6/2010,61,29.54,10,5,0.32,1,0.625,0.52,Sunny,Sunny,0.852272727
22589,6/7/2010,39,29.82,10,2,0.48,1,0.25,0.226666667,Sunny,Sunny,0.579545455
22590,6/8/2010,39,30.04,10,3,0.605714286,1,0.375,0.226666667,Sunny,Sunny,0.568181818
22594,6/12/2010,77,30.07,10,6,0.622857143,1,0.75,0.733333333,Sunny,Sunny,0.806818182
22598,6/16/2010,74,30.05,9,6,0.611428571,0.888888889,0.75,0.693333333,Sunny,Sunny,0.829545455
22601,6/19/2010,76,30.07,10,2,0.622857143,1,0.25,0.72,Sunny,Sunny,0.840909091
22602,6/20/2010,62,29.89,9,5,0.52,0.888888889,0.625,0.533333333,Sunny,Sunny,0.886363636
22603,6/21/2010,53,30,10,3,0.582857143,1,0.375,0.413333333,Sunny,Sunny,0.795454545
22606,6/24/2010,52,29.81,10,5,0.474285714,1,0.625,0.4,Sunny,Sunny,0.875
22607,6/25/2010,62,29.97,10,3,0.565714286,1,0.375,0.533333333,Sunny,Sunny,0.829545455
22609,6/27/2010,70,29.74,8,5,0.434285714,0.777777778,0.625,0.64,Sunny,Sunny,0.909090909
22610,6/28/2010,61,29.62,9,5,0.365714286,0.888888889,0.625,0.52,Sunny,Sunny,0.920454545
22611,6/29/2010,58,29.8,10,5,0.468571429,1,0.625,0.48,Sunny,Sunny,0.829545455
22612,6/30/2010,39,30.06,10,3,0.617142857,1,0.375,0.226666667,Sunny,Sunny,0.625
22613,7/1/2010,35,30.14,10,2,0.662857143,1,0.25,0.173333333,Sunny,Sunny,0.613636364
22614,7/2/2010,42,30.19,10,2,0.691428571,1,0.25,0.266666667,Sunny,Sunny,0.659090909
22615,7/3/2010,51,30.11,10,2,0.645714286,1,0.25,0.386666667,Sunny,Sunny,0.738636364
22616,7/4/2010,47,29.98,10,2,0.571428571,1,0.25,0.333333333,Sunny,Sunny,0.772727273
22619,7/7/2010,61,30,10,2,0.582857143,1,0.25,0.52,Sunny,Sunny,0.897727273
22621,7/9/2010,71,29.96,10,4,0.56,1,0.5,0.653333333,Sunny,Sunny,0.943181818
22622,7/10/2010,73,29.84,10,6,0.491428571,1,0.75,0.68,Sunny,Sunny,0.920454545
22623,7/11/2010,64,29.85,10,4,0.497142857,1,0.5,0.56,Sunny,Sunny,0.897727273
22627,7/15/2010,69,30.01,10,6,0.588571429,1,0.75,0.626666667,Sunny,Sunny,0.909090909
22632,7/20/2010,65,29.93,10,5,0.542857143,1,0.625,0.573333333,Sunny,Sunny,0.909090909
22633,7/21/2010,66,29.91,10,4,0.531428571,1,0.5,0.586666667,Sunny,Sunny,0.931818182
22634,7/22/2010,45,29.94,10,4,0.548571429,1,0.5,0.306666667,Sunny,Sunny,0.784090909
22638,7/26/2010,48,29.99,10,2,0.577142857,1,0.25,0.346666667,Sunny,Sunny,0.75
22639,7/27/2010,54,30.07,10,2,0.622857143,1,0.25,0.426666667,Sunny,Sunny,0.772727273
22640,7/28/2010,70,30,10,3,0.582857143,1,0.375,0.64,Sunny,Sunny,0.897727273
22642,7/30/2010,53,29.92,10,3,0.537142857,1,0.375,0.413333333,Sunny,Sunny,0.772727273
22643,7/31/2010,52,29.96,10,4,0.56,1,0.5,0.4,Sunny,Sunny,0.738636364
22644,8/1/2010,63,30.05,10,6,0.611428571,1,0.75,0.546666667,Sunny,Sunny,0.818181818
22646,8/3/2010,70,30.09,10,6,0.634285714,1,0.75,0.64,Sunny,Sunny,0.875
22647,8/4/2010,76,29.88,10,5,0.514285714,1,0.625,0.72,Sunny,Sunny,0.931818182
22648,8/5/2010,65,29.67,9,5,0.394285714,0.888888889,0.625,0.573333333,Sunny,Sunny,0.920454545
22649,8/6/2010,53,29.71,10,4,0.417142857,1,0.5,0.413333333,Sunny,Sunny,0.795454545
22651,8/8/2010,71,30.03,10,5,0.6,1,0.625,0.653333333,Sunny,Sunny,0.920454545
22652,8/9/2010,74,30,8,3,0.582857143,0.777777778,0.375,0.693333333,Sunny,Sunny,0.920454545
22653,8/10/2010,67,29.9,9,6,0.525714286,0.888888889,0.75,0.6,Sunny,Sunny,0.897727273
22654,8/11/2010,63,29.86,9,5,0.502857143,0.888888889,0.625,0.546666667,Sunny,Sunny,0.909090909
22657,8/14/2010,58,30.14,10,4,0.662857143,1,0.5,0.48,Sunny,Sunny,0.761363636
22661,8/18/2010,59,30.04,10,6,0.605714286,1,0.75,0.493333333,Sunny,Sunny,0.829545455
22662,8/19/2010,62,29.91,10,2,0.531428571,1,0.25,0.533333333,Sunny,Sunny,0.840909091
22664,8/21/2010,62,30.04,10,6,0.605714286,1,0.75,0.533333333,Sunny,Sunny,0.829545455
22669,8/26/2010,59,29.95,10,3,0.554285714,1,0.375,0.493333333,Sunny,Sunny,0.784090909
22671,8/28/2010,52,30.19,10,1,0.691428571,1,0.125,0.4,Sunny,Sunny,0.738636364
22672,8/29/2010,58,30.18,10,1,0.685714286,1,0.125,0.48,Sunny,Sunny,0.818181818
22673,8/30/2010,49,30.18,10,1,0.685714286,1,0.125,0.36,Sunny,Sunny,0.784090909
22674,8/31/2010,52,30.11,10,1,0.645714286,1,0.125,0.4,Sunny,Sunny,0.863636364
22675,9/1/2010,58,30.03,10,1,0.6,1,0.125,0.48,Sunny,Sunny,0.886363636
22676,9/2/2010,67,29.98,9,3,0.571428571,0.888888889,0.375,0.6,Sunny,Sunny,0.909090909
22678,9/4/2010,50,29.66,10,3,0.388571429,1,0.375,0.373333333,Sunny,Sunny,0.704545455
22679,9/5/2010,43,29.97,10,1,0.565714286,1,0.125,0.28,Sunny,Sunny,0.625
22680,9/6/2010,53,30.2,10,2,0.697142857,1,0.25,0.413333333,Sunny,Sunny,0.704545455
22683,9/9/2010,51,29.79,10,4,0.462857143,1,0.5,0.386666667,Sunny,Sunny,0.681818182
22684,9/10/2010,55,29.86,10,4,0.502857143,1,0.5,0.44,Sunny,Sunny,0.681818182
22688,9/14/2010,60,29.91,9,1,0.531428571,0.888888889,0.125,0.506666667,Sunny,Sunny,0.727272727
22689,9/15/2010,48,30.08,10,1,0.628571429,1,0.125,0.346666667,Sunny,Sunny,0.625
22692,9/18/2010,66,30.19,10,5,0.691428571,1,0.625,0.586666667,Sunny,Sunny,0.738636364
22693,9/19/2010,70,30.1,10,4,0.64,1,0.5,0.64,Sunny,Sunny,0.806818182
22697,9/23/2010,71,30.17,10,3,0.68,1,0.375,0.653333333,Sunny,Sunny,0.829545455
22698,9/24/2010,84,30.06,5,6,0.617142857,0.444444444,0.75,0.826666667,Sunny,Sunny,0.886363636
22699,9/25/2010,59,29.83,10,2,0.485714286,1,0.25,0.493333333,Sunny,Sunny,0.806818182
22700,9/26/2010,67,30.03,10,7,0.6,1,0.875,0.6,Sunny,Sunny,0.727272727
22703,9/29/2010,70,29.93,10,6,0.542857143,1,0.75,0.64,Sunny,Sunny,0.818181818
22706,10/2/2010,54,29.95,10,0,0.554285714,1,0,0.426666667,Sunny,Sunny,0.625
22712,10/8/2010,45,29.91,10,0,0.531428571,1,0,0.306666667,Sunny,Sunny,0.625
22713,10/9/2010,45,29.91,10,1,0.531428571,1,0.125,0.306666667,Sunny,Sunny,0.579545455
22714,10/10/2010,47,29.89,10,0,0.52,1,0,0.333333333,Sunny,Sunny,0.556818182
22717,10/13/2010,53,30.02,10,1,0.594285714,1,0.125,0.413333333,Sunny,Sunny,0.568181818
22720,10/16/2010,50,29.76,10,4,0.445714286,1,0.5,0.373333333,Sunny,Sunny,0.545454545
22721,10/17/2010,47,29.88,10,1,0.514285714,1,0.125,0.333333333,Sunny,Sunny,0.556818182
22722,10/18/2010,48,29.94,10,5,0.548571429,1,0.625,0.346666667,Sunny,Sunny,0.545454545
22724,10/20/2010,67,29.89,10,6,0.52,1,0.75,0.6,Sunny,Sunny,0.625
22726,10/22/2010,42,29.99,10,3,0.577142857,1,0.375,0.266666667,Sunny,Sunny,0.443181818
22727,10/23/2010,51,30.15,10,4,0.668571429,1,0.5,0.386666667,Sunny,Sunny,0.545454545
22729,10/25/2010,82,29.94,10,6,0.548571429,1,0.75,0.8,Sunny,Sunny,0.772727273
22733,10/29/2010,46,29.97,10,4,0.565714286,1,0.5,0.32,Sunny,Sunny,0.5
22736,11/1/2010,44,30.31,10,1,0.76,1,0.125,0.293333333,Sunny,Sunny,0.397727273
22738,11/3/2010,62,30.18,10,4,0.685714286,1,0.5,0.533333333,Sunny,Sunny,0.511363636
22741,11/6/2010,56,30.11,10,6,0.645714286,1,0.75,0.453333333,Sunny,Sunny,0.488636364
22744,11/9/2010,64,29.86,10,3,0.502857143,1,0.375,0.56,Sunny,Sunny,0.556818182
22745,11/10/2010,56,30.07,10,5,0.622857143,1,0.625,0.453333333,Sunny,Sunny,0.534090909
22747,11/12/2010,31,30.37,10,0,0.794285714,1,0,0.12,Sunny,Sunny,0.329545455
22748,11/13/2010,47,30.19,10,1,0.691428571,1,0.125,0.333333333,Sunny,Sunny,0.477272727
22750,11/15/2010,78,30.04,8,7,0.605714286,0.777777778,0.875,0.746666667,Sunny,Sunny,0.681818182
22754,11/19/2010,51,30.21,10,3,0.702857143,1,0.375,0.386666667,Sunny,Sunny,0.431818182
22755,11/20/2010,57,30.17,10,5,0.68,1,0.625,0.466666667,Sunny,Sunny,0.511363636
22756,11/21/2010,54,30.47,10,5,0.851428571,1,0.625,0.426666667,Sunny,Sunny,0.454545455
22758,11/23/2010,65,29.92,10,5,0.537142857,1,0.625,0.573333333,Sunny,Sunny,0.659090909
22759,11/24/2010,33,30.13,10,4,0.657142857,1,0.5,0.146666667,Sunny,Sunny,0.329545455
22763,11/28/2010,48,30.32,10,1,0.765714286,1,0.125,0.346666667,Sunny,Sunny,0.375
22764,11/29/2010,62,30.52,10,3,0.88,1,0.375,0.533333333,Sunny,Sunny,0.454545455
22768,12/3/2010,51,30.01,10,5,0.588571429,1,0.625,0.386666667,Sunny,Sunny,0.375
22770,12/5/2010,48,29.68,10,6,0.4,1,0.75,0.346666667,Sunny,Sunny,0.318181818
22773,12/8/2010,38,29.92,10,1,0.537142857,1,0.125,0.213333333,Sunny,Sunny,0.215909091
22774,12/9/2010,38,30.26,10,2,0.731428571,1,0.25,0.213333333,Sunny,Sunny,0.181818182
22776,12/11/2010,65,30.24,10,5,0.72,1,0.625,0.573333333,Sunny,Sunny,0.431818182
22782,12/17/2010,47,29.95,10,3,0.554285714,1,0.375,0.333333333,Sunny,Sunny,0.295454545
22783,12/18/2010,59,30.1,10,4,0.64,1,0.5,0.493333333,Sunny,Sunny,0.329545455
22784,12/19/2010,59,29.99,10,6,0.577142857,1,0.75,0.493333333,Sunny,Sunny,0.363636364
22786,12/21/2010,49,29.84,10,3,0.491428571,1,0.375,0.36,Sunny,Sunny,0.318181818
22787,12/22/2010,57,29.81,10,4,0.474285714,1,0.5,0.466666667,Sunny,Sunny,0.363636364
22788,12/23/2010,51,29.84,10,6,0.491428571,1,0.75,0.386666667,Sunny,Sunny,0.329545455
22790,12/25/2010,55,30.01,10,7,0.588571429,1,0.875,0.44,Sunny,Sunny,0.306818182
22793,12/28/2010,54,29.82,10,4,0.48,1,0.5,0.426666667,Sunny,Sunny,0.318181818
22795,12/30/2010,68,30.21,9,3,0.702857143,0.888888889,0.375,0.613333333,Sunny,Sunny,0.397727273
22796,12/31/2010,71,30.18,9,5,0.685714286,0.888888889,0.625,0.653333333,Sunny,Sunny,0.443181818
22798,1/1/2011,80,30.09,7,5,0.634285714,0.666666667,0.625,0.773333333,Sunny,Sunny,0.511363636
22800,1/3/2011,46,30.12,10,1,0.651428571,1,0.125,0.32,Sunny,Sunny,0.272727273
22801,1/4/2011,61,29.96,10,5,0.56,1,0.625,0.52,Sunny,Sunny,0.375
22802,1/5/2011,54,29.84,10,4,0.491428571,1,0.5,0.426666667,Sunny,Sunny,0.329545455
22803,1/6/2011,58,29.7,10,5,0.411428571,1,0.625,0.48,Sunny,Sunny,0.318181818
22806,1/9/2011,55,29.86,10,3,0.502857143,1,0.375,0.44,Sunny,Sunny,0.284090909
22807,1/10/2011,49,30.19,10,3,0.691428571,1,0.375,0.36,Sunny,Sunny,0.284090909
22811,1/14/2011,54,30.32,10,3,0.765714286,1,0.375,0.426666667,Sunny,Sunny,0.238636364
22813,1/16/2011,53,30.08,10,5,0.628571429,1,0.625,0.413333333,Sunny,Sunny,0.284090909
22817,1/20/2011,56,29.98,10,6,0.571428571,1,0.75,0.453333333,Sunny,Sunny,0.329545455
22819,1/22/2011,48,29.95,10,4,0.554285714,1,0.5,0.346666667,Sunny,Sunny,0.170454545
22820,1/23/2011,46,30.07,10,2,0.622857143,1,0.25,0.32,Sunny,Sunny,0.147727273
22821,1/24/2011,50,30.44,10,3,0.834285714,1,0.375,0.373333333,Sunny,Sunny,0.136363636
22827,1/30/2011,66,30.12,9,5,0.651428571,0.888888889,0.625,0.586666667,Sunny,Sunny,0.386363636
22828,1/31/2011,47,30.45,10,4,0.84,1,0.5,0.333333333,Sunny,Sunny,0.238636364
22831,2/3/2011,49,30.27,10,4,0.737142857,1,0.5,0.36,Sunny,Sunny,0.272727273
22832,2/4/2011,59,30.24,10,4,0.72,1,0.5,0.493333333,Sunny,Sunny,0.306818182
22837,2/9/2011,48,30.19,10,5,0.691428571,1,0.625,0.346666667,Sunny,Sunny,0.204545455
22838,2/10/2011,38,30.05,10,3,0.611428571,1,0.375,0.213333333,Sunny,Sunny,0.170454545
22839,2/11/2011,52,30.15,10,2,0.668571429,1,0.25,0.4,Sunny,Sunny,0.261363636
22840,2/12/2011,58,29.95,10,4,0.554285714,1,0.5,0.48,Sunny,Sunny,0.340909091
22841,2/13/2011,55,30.01,10,6,0.588571429,1,0.75,0.44,Sunny,Sunny,0.375
22843,2/15/2011,32,30.25,10,1,0.725714286,1,0.125,0.133333333,Sunny,Sunny,0.159090909
22845,2/17/2011,57,30.11,10,7,0.645714286,1,0.875,0.466666667,Sunny,Sunny,0.5
22850,2/22/2011,44,30.11,10,3,0.645714286,1,0.375,0.293333333,Sunny,Sunny,0.204545455
22851,2/23/2011,32,30.31,10,0,0.76,1,0,0.133333333,Sunny,Sunny,0.181818182
22855,2/27/2011,59,30,10,6,0.582857143,1,0.75,0.493333333,Sunny,Sunny,0.477272727
22857,3/1/2011,40,30.2,10,2,0.697142857,1,0.25,0.24,Sunny,Sunny,0.284090909
22858,3/2/2011,50,30.16,10,2,0.674285714,1,0.25,0.373333333,Sunny,Sunny,0.352272727
22859,3/3/2011,32,30.62,10,2,0.937142857,1,0.25,0.133333333,Sunny,Sunny,0.113636364
22868,3/12/2011,59,29.86,10,4,0.502857143,1,0.5,0.493333333,Sunny,Sunny,0.5
22869,3/13/2011,59,30.03,10,4,0.6,1,0.5,0.493333333,Sunny,Sunny,0.454545455
22870,3/14/2011,53,30.32,10,5,0.765714286,1,0.625,0.413333333,Sunny,Sunny,0.420454545
22871,3/15/2011,69,30.47,10,5,0.851428571,1,0.625,0.626666667,Sunny,Sunny,0.465909091
22873,3/17/2011,53,30.13,10,3,0.657142857,1,0.375,0.413333333,Sunny,Sunny,0.545454545
22874,3/18/2011,54,29.89,10,6,0.52,1,0.75,0.426666667,Sunny,Sunny,0.568181818
22875,3/19/2011,38,30.22,10,3,0.708571429,1,0.375,0.213333333,Sunny,Sunny,0.409090909
22876,3/20/2011,52,30.58,10,2,0.914285714,1,0.25,0.4,Sunny,Sunny,0.363636364
22881,3/25/2011,37,29.95,10,3,0.554285714,1,0.375,0.2,Sunny,Sunny,0.272727273
22882,3/26/2011,33,30.01,10,2,0.588571429,1,0.25,0.146666667,Sunny,Sunny,0.215909091
22883,3/27/2011,32,29.97,10,3,0.565714286,1,0.375,0.133333333,Sunny,Sunny,0.215909091
22885,3/29/2011,36,30.09,10,1,0.634285714,1,0.125,0.186666667,Sunny,Sunny,0.284090909
22890,4/3/2011,32,29.9,10,4,0.525714286,1,0.5,0.133333333,Sunny,Sunny,0.386363636
22901,4/14/2011,60,30,10,5,0.582857143,1,0.625,0.506666667,Sunny,Sunny,0.613636364
22902,4/15/2011,57,30.4,10,5,0.811428571,1,0.625,0.466666667,Sunny,Sunny,0.522727273
22908,4/21/2011,55,30.13,10,4,0.657142857,1,0.5,0.44,Sunny,Sunny,0.465909091
22909,4/22/2011,56,30.45,10,5,0.84,1,0.625,0.453333333,Sunny,Sunny,0.465909091
22916,4/29/2011,63,29.77,10,4,0.451428571,1,0.5,0.546666667,Sunny,Sunny,0.613636364
22917,4/30/2011,52,30.06,10,4,0.617142857,1,0.5,0.4,Sunny,Sunny,0.568181818
22918,5/1/2011,55,30.29,10,4,0.748571429,1,0.5,0.44,Sunny,Sunny,0.590909091
22919,5/2/2011,76,30.24,10,7,0.72,1,0.875,0.72,Sunny,Sunny,0.647727273
22920,5/3/2011,83,30.07,10,7,0.622857143,1,0.875,0.813333333,Sunny,Sunny,0.738636364
22922,5/5/2011,46,29.96,10,3,0.56,1,0.375,0.32,Sunny,Sunny,0.477272727
22924,5/7/2011,61,29.85,10,5,0.497142857,1,0.625,0.52,Sunny,Sunny,0.636363636
22926,5/9/2011,51,29.95,10,3,0.554285714,1,0.375,0.386666667,Sunny,Sunny,0.568181818
22927,5/10/2011,53,29.98,10,3,0.571428571,1,0.375,0.413333333,Sunny,Sunny,0.590909091
22928,5/11/2011,62,30.07,10,4,0.622857143,1,0.5,0.533333333,Sunny,Sunny,0.659090909
22929,5/12/2011,64,30.06,10,4,0.617142857,1,0.5,0.56,Sunny,Sunny,0.659090909
22930,5/13/2011,73,29.96,10,6,0.56,1,0.75,0.68,Sunny,Sunny,0.681818182
22933,5/16/2011,91,29.71,2,8,0.417142857,0.111111111,1,0.92,Sunny,Sunny,0.795454545
22939,5/22/2011,89,30.15,6,8,0.668571429,0.555555556,1,0.893333333,Sunny,Sunny,0.727272727
22943,5/26/2011,89,29.92,5,6,0.537142857,0.444444444,0.75,0.893333333,Sunny,Sunny,0.852272727
22950,6/2/2011,30,29.91,10,1,0.531428571,1,0.125,0.106666667,Sunny,Sunny,0.602272727
22952,6/4/2011,52,30.06,10,5,0.617142857,1,0.625,0.4,Sunny,Sunny,0.613636364
22953,6/5/2011,70,30.06,10,6,0.617142857,1,0.75,0.64,Sunny,Sunny,0.715909091
22954,6/6/2011,65,30,10,4,0.582857143,1,0.5,0.573333333,Sunny,Sunny,0.772727273
22955,6/7/2011,62,29.93,10,4,0.542857143,1,0.5,0.533333333,Sunny,Sunny,0.818181818
22964,6/16/2011,64,29.92,10,6,0.537142857,1,0.75,0.56,Sunny,Sunny,0.806818182
22966,6/18/2011,74,29.85,9,4,0.497142857,0.888888889,0.5,0.693333333,Sunny,Sunny,0.863636364
22968,6/20/2011,67,29.9,10,6,0.525714286,1,0.75,0.6,Sunny,Sunny,0.795454545
22969,6/21/2011,71,29.92,10,5,0.537142857,1,0.625,0.653333333,Sunny,Sunny,0.852272727
22973,6/25/2011,71,29.81,7,6,0.474285714,0.666666667,0.75,0.653333333,Sunny,Sunny,0.863636364
22974,6/26/2011,58,29.93,10,6,0.542857143,1,0.75,0.48,Sunny,Sunny,0.806818182
22975,6/27/2011,66,30.01,10,4,0.588571429,1,0.5,0.586666667,Sunny,Sunny,0.829545455
22976,6/28/2011,74,29.91,9,6,0.531428571,0.888888889,0.75,0.693333333,Sunny,Sunny,0.909090909
22978,6/30/2011,53,29.95,10,2,0.554285714,1,0.25,0.413333333,Sunny,Sunny,0.761363636
22979,7/1/2011,51,30,10,2,0.582857143,1,0.25,0.386666667,Sunny,Sunny,0.727272727
22980,7/2/2011,62,30.04,10,4,0.605714286,1,0.5,0.533333333,Sunny,Sunny,0.829545455
